                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3515,                  4.756,                 1.0737,                0.00165,                    0.3,                0.00119,                0.00072,                0.90732,                 4.2688,                0.92402,              8.335e-05,              8.335e-05,              8.335e-05
                      2,                 1.0625,                  3.968,                0.92406,                0.00372,                0.93333,                0.08366,                0.05455,                0.88974,                 3.9968,                0.82939,             0.00018301,             0.00018301,             0.00018301
                      3,                0.93769,                 2.7361,                0.83926,                0.00377,                0.96667,                0.08462,                0.03802,                0.86476,                 3.8305,                0.84344,             0.00028227,             0.00028227,             0.00028227
                      4,                0.87796,                  2.209,                0.84779,                0.00374,                0.96667,                0.06895,                 0.0355,                 0.8481,                 3.7848,                0.84326,             0.00038113,             0.00038113,             0.00038113
                      5,                0.79986,                 1.8503,                0.84222,                 0.0034,                0.86667,                0.00678,                0.00452,                0.82901,                 3.6975,                0.84366,              0.0004796,              0.0004796,              0.0004796
                      6,                0.79783,                 1.5218,                0.84546,                0.00319,                0.76667,                0.00568,                0.00424,                 0.7705,                 3.7518,                0.84281,             0.00057767,             0.00057767,             0.00057767
                      7,                0.72977,                 1.4483,                 0.8422,                0.00332,                0.73333,                 0.0049,                0.00396,                0.80637,                 3.9291,                 0.8697,             0.00067535,             0.00067535,             0.00067535
                      8,                0.78853,                 1.3582,                0.85578,                0.00317,                0.76667,                0.00529,                0.00436,                0.73595,                 3.7359,                0.84498,             0.00077263,             0.00077263,             0.00077263
                      9,                0.73404,                 1.2269,                0.84067,                0.00329,                    0.8,                0.00785,                0.00641,                0.72584,                 3.6096,                0.84083,             0.00086952,             0.00086952,             0.00086952
                     10,                0.76936,                 1.2047,                0.83855,                0.00327,                0.83333,                0.02165,                0.01861,                0.72509,                 3.4996,                0.84155,               0.000966,               0.000966,               0.000966
                     11,                0.80734,                 1.3048,                0.84059,                0.00333,                0.86667,                0.07159,                0.05793,                0.84731,                 3.2005,                0.86194,              0.0010621,              0.0010621,              0.0010621
                     12,                0.74474,                 1.0708,                0.83947,                      1,                 0.3248,                0.65419,                 0.5593,                0.76746,                 2.7811,                0.84524,              0.0011578,              0.0011578,              0.0011578
                     13,                0.74856,                 1.2142,                0.87183,                 0.8293,                    0.1,                0.39605,                0.33897,                0.81771,                  3.044,                0.85856,              0.0012531,              0.0012531,              0.0012531
                     14,                 0.7432,                 1.3039,                0.84524,                      1,                0.48437,                0.72058,                0.58864,                0.82607,                 2.5016,                0.86269,               0.001348,               0.001348,               0.001348
                     15,                0.71178,                   1.15,                0.85259,                      1,                 0.4749,                0.68816,                0.55782,                 0.8093,                 2.4598,                0.85516,              0.0014425,              0.0014425,              0.0014425
                     16,                 0.7762,                 1.1952,                0.83128,                      1,                0.56805,                0.82249,                0.65779,                0.86233,                 2.3803,                0.86729,              0.0015366,              0.0015366,              0.0015366
                     17,                0.72892,                 1.1232,                0.84079,                0.99207,                0.69782,                0.92578,                 0.6836,                0.81861,                 2.0633,                0.86577,              0.0016142,              0.0016142,              0.0016142
                     18,                0.70841,                 1.0577,                 0.8453,                 0.9351,                0.75799,                0.92538,                0.75078,                0.76123,                 1.7546,                0.86734,              0.0016109,              0.0016109,              0.0016109
                     19,                0.72698,                 1.0572,                0.85835,                0.93117,                0.73907,                0.92927,                0.73267,                0.83039,                 1.6937,                0.88607,              0.0016076,              0.0016076,              0.0016076
                     20,                0.70115,                0.97953,                0.82577,                0.94629,                0.72659,                0.92938,                0.70925,                0.81225,                 1.5771,                0.85179,              0.0016043,              0.0016043,              0.0016043
                     21,                0.71231,                0.98182,                0.83163,                 0.9273,                0.72955,                0.90354,                0.71819,                0.70952,                 1.5218,                0.83684,               0.001601,               0.001601,               0.001601
                     22,                0.74898,                 1.0218,                0.83949,                0.95301,                0.72595,                0.87078,                0.68353,                0.71815,                 1.3848,                0.83449,              0.0015977,              0.0015977,              0.0015977
                     23,                 0.7024,                0.95182,                0.84455,                0.94471,                0.72148,                0.88188,                0.70635,                0.68459,                 1.4553,                0.83227,              0.0015944,              0.0015944,              0.0015944
                     24,                0.68202,                0.87148,                0.84846,                0.96875,                0.93112,                0.92613,                0.74226,                 0.6963,                  1.189,                0.82748,              0.0015911,              0.0015911,              0.0015911
                     25,                0.69135,                0.85119,                0.82963,                0.92182,                0.89378,                0.92787,                0.74744,                0.72592,                 1.2116,                0.83322,              0.0015878,              0.0015878,              0.0015878
                     26,                0.64648,                0.85698,                0.82254,                0.89585,                0.90157,                0.94295,                0.74978,                0.81327,                 1.2333,                0.85787,              0.0015845,              0.0015845,              0.0015845
                     27,                0.66559,                0.90684,                0.84133,                0.96149,                0.93025,                0.95156,                0.77527,                0.74057,                 1.0789,                0.84055,              0.0015812,              0.0015812,              0.0015812
                     28,                0.63385,                0.84218,                0.82663,                0.93449,                0.95305,                0.95529,                0.77363,                0.72052,                 1.0547,                0.83636,              0.0015779,              0.0015779,              0.0015779
                     29,                0.70538,                0.85753,                0.84384,                0.94019,                0.84099,                0.95099,                0.78067,                0.65046,                 1.0254,                0.82942,              0.0015746,              0.0015746,              0.0015746
                     30,                0.66936,                0.82336,                 0.8436,                0.89161,                0.83319,                0.94261,                0.78215,                0.68686,                 1.0086,                0.83336,              0.0015713,              0.0015713,              0.0015713
                     31,                0.63623,                0.76154,                 0.8147,                0.89835,                 0.8728,                0.93602,                0.79483,                0.65416,                0.97766,                0.83189,               0.001568,               0.001568,               0.001568
                     32,                0.63148,                0.75026,                0.83793,                0.95919,                0.89954,                0.93503,                0.78312,                0.68891,                 1.0174,                 0.8387,              0.0015647,              0.0015647,              0.0015647
                     33,                0.66454,                0.78088,                0.84195,                0.93372,                    0.9,                0.93635,                0.77986,                0.70733,                 1.0221,                0.84051,              0.0015614,              0.0015614,              0.0015614
                     34,                0.63522,                0.76162,                0.80969,                 0.9519,                0.92774,                0.94706,                0.80736,                0.61058,                0.95725,                0.82199,              0.0015581,              0.0015581,              0.0015581
                     35,                0.62041,                 0.7306,                0.82889,                0.95674,                0.92489,                0.94203,                0.83251,                0.57645,                0.98374,                 0.8209,              0.0015548,              0.0015548,              0.0015548
                     36,                0.64941,                0.76703,                 0.8325,                 0.9586,                0.92419,                 0.9671,                 0.8126,                0.56656,                0.89319,                 0.8163,              0.0015515,              0.0015515,              0.0015515
                     37,                0.62854,                0.72446,                0.82257,                0.95216,                0.88834,                0.97266,                0.82849,                0.63734,                0.88511,                0.82543,              0.0015482,              0.0015482,              0.0015482
                     38,                0.66098,                0.68437,                0.82141,                0.89282,                    0.9,                0.95544,                 0.7889,                0.62301,                0.85703,                0.81968,              0.0015449,              0.0015449,              0.0015449
                     39,                0.64765,                0.67668,                 0.8385,                0.92891,                0.88322,                0.96002,                0.79069,                 0.5896,                0.77652,                0.81864,              0.0015416,              0.0015416,              0.0015416
                     40,                0.62568,                0.68766,                0.83851,                0.96804,                0.88775,                0.95937,                0.79613,                0.62388,                0.74849,                0.82515,              0.0015383,              0.0015383,              0.0015383
                     41,                0.58941,                0.64682,                0.81878,                0.95992,                0.91297,                0.96512,                0.80386,                0.58612,                0.71168,                0.81404,               0.001535,               0.001535,               0.001535
                     42,                0.56994,                 0.6204,                0.82786,                0.95677,                0.92878,                0.96031,                0.80229,                0.58299,                0.69552,                 0.8142,              0.0015317,              0.0015317,              0.0015317
                     43,                0.59646,                0.64912,                 0.8097,                0.96425,                0.93333,                0.96612,                0.82786,                0.56034,                0.71028,                0.81437,              0.0015284,              0.0015284,              0.0015284
                     44,                0.60048,                0.61165,                0.80825,                0.96342,                0.93333,                0.95273,                0.78494,                0.59954,                0.75165,                0.81714,              0.0015251,              0.0015251,              0.0015251
                     45,                 0.6394,                0.64298,                0.81482,                 0.9679,                0.93256,                0.96147,                0.76494,                0.62196,                0.73547,                0.82219,              0.0015218,              0.0015218,              0.0015218
                     46,                0.63674,                0.64795,                0.82216,                0.93338,                0.83219,                0.92305,                0.73676,                0.64606,                0.76968,                0.82846,              0.0015185,              0.0015185,              0.0015185
                     47,                 0.6179,                0.61132,                0.82704,                0.93498,                0.83138,                0.90448,                0.75807,                0.64142,                0.77171,                0.83286,              0.0015152,              0.0015152,              0.0015152
                     48,                0.61075,                0.60511,                0.80884,                0.93211,                0.82874,                0.88511,                0.71286,                0.62923,                0.78024,                 0.8347,              0.0015119,              0.0015119,              0.0015119
                     49,                0.60276,                 0.6107,                0.81892,                0.95242,                0.83333,                0.92627,                0.76759,                0.62606,                0.73394,                0.84282,              0.0015086,              0.0015086,              0.0015086
                     50,                0.58621,                0.58492,                0.82029,                0.95711,                0.83778,                 0.9486,                0.78868,                0.58451,                0.68876,                0.83435,              0.0015053,              0.0015053,              0.0015053
                     51,                0.54869,                0.56986,                0.81638,                0.95759,                0.84796,                 0.9592,                0.78738,                0.56116,                0.67087,                0.82757,               0.001502,               0.001502,               0.001502
                     52,                0.54185,                0.58073,                0.81697,                0.93535,                0.90791,                 0.9544,                0.79564,                0.59512,                0.64219,                0.81894,              0.0014987,              0.0014987,              0.0014987
                     53,                 0.5965,                0.56694,                0.84499,                0.88348,                0.90531,                0.95146,                0.77934,                0.59016,                0.60769,                0.81382,              0.0014954,              0.0014954,              0.0014954
                     54,                0.57635,                0.57768,                0.80907,                0.93499,                0.86606,                0.95839,                0.77141,                0.58604,                0.60762,                0.81021,              0.0014921,              0.0014921,              0.0014921
                     55,                0.52699,                0.54352,                0.78618,                0.89916,                0.95889,                0.95556,                0.78988,                0.55187,                0.63228,                0.80478,              0.0014888,              0.0014888,              0.0014888
                     56,                0.54698,                0.56748,                0.82061,                0.92163,                0.93333,                 0.9495,                0.79486,                0.57157,                0.62225,                0.80976,              0.0014855,              0.0014855,              0.0014855
                     57,                0.54721,                0.57198,                0.82078,                0.90846,                0.93333,                0.94662,                0.78098,                0.59193,                 0.6242,                0.80749,              0.0014822,              0.0014822,              0.0014822
                     58,                0.61659,                0.60452,                 0.8236,                0.91658,                0.93333,                0.93272,                0.78569,                0.55492,                0.60063,                0.81349,              0.0014789,              0.0014789,              0.0014789
                     59,                0.56768,                0.53493,                 0.7955,                 0.9505,                0.93333,                0.93506,                0.77333,                0.56456,                0.62174,                0.81689,              0.0014756,              0.0014756,              0.0014756
                     60,                0.59722,                 0.5575,                0.83348,                0.95259,                0.93333,                0.96761,                0.82617,                0.54353,                 0.5511,                0.80666,              0.0014723,              0.0014723,              0.0014723
                     61,                0.56188,                 0.5379,                0.82295,                0.91299,                0.96342,                0.97254,                0.82813,                0.50923,                0.55269,                0.79837,               0.001469,               0.001469,               0.001469
                     62,                0.58403,                0.53801,                0.81278,                0.92168,                0.96263,                0.97208,                 0.8182,                0.52596,                0.58551,                0.80592,              0.0014657,              0.0014657,              0.0014657
                     63,                0.52256,                0.49622,                0.81141,                 0.8971,                 0.9487,                0.97394,                0.82285,                0.55361,                0.61929,                0.80973,              0.0014624,              0.0014624,              0.0014624
                     64,                0.57762,                0.54248,                 0.8272,                0.90321,                0.95865,                0.97737,                 0.7966,                0.59203,                0.62934,                0.81055,              0.0014591,              0.0014591,              0.0014591
                     65,                0.56394,                0.51085,                0.81426,                0.91904,                0.95413,                  0.975,                0.78967,                0.61243,                0.61285,                 0.8064,              0.0014558,              0.0014558,              0.0014558
                     66,                0.54732,                0.49982,                0.81011,                0.92286,                0.96593,                0.96302,                0.80707,                0.63482,                0.60434,                0.80788,              0.0014525,              0.0014525,              0.0014525
                     67,                0.56711,                0.50862,                0.81542,                0.95058,                0.93333,                0.95995,                0.81443,                0.59547,                0.57893,                0.81014,              0.0014492,              0.0014492,              0.0014492
                     68,                0.56691,                0.50751,                0.82908,                 0.9154,                0.93219,                 0.9524,                0.78882,                0.61128,                0.58564,                0.80749,              0.0014459,              0.0014459,              0.0014459
                     69,                0.55524,                0.49954,                0.81632,                0.92999,                    0.9,                0.94695,                0.80908,                0.58563,                0.58954,                0.80613,              0.0014426,              0.0014426,              0.0014426
                     70,                0.58814,                0.51768,                0.83688,                 0.9001,                    0.9,                0.94556,                0.81536,                 0.5896,                0.57398,                0.80857,              0.0014393,              0.0014393,              0.0014393
                     71,                0.55241,                0.49662,                0.82656,                0.93168,                    0.9,                0.95126,                0.81064,                0.62026,                 0.5215,                0.80936,               0.001436,               0.001436,               0.001436
                     72,                0.58338,                0.49245,                0.81202,                0.96785,                0.96316,                0.96094,                0.81381,                0.60941,                0.51423,                0.80516,              0.0014327,              0.0014327,              0.0014327
                     73,                0.56383,                0.46833,                0.81343,                0.96872,                0.96467,                  0.958,                0.79285,                0.59864,                0.51515,                0.80889,              0.0014294,              0.0014294,              0.0014294
                     74,                0.60132,                0.48199,                0.82885,                0.94296,                0.95398,                0.95875,                0.81135,                0.56297,                0.51902,                0.80574,              0.0014261,              0.0014261,              0.0014261
                     75,                 0.5464,                 0.4852,                0.84398,                0.95909,                 0.9295,                0.96621,                0.82314,                0.60495,                0.50023,                0.80928,              0.0014228,              0.0014228,              0.0014228
                     76,                0.60043,                0.48017,                0.83554,                0.96076,                0.88959,                0.96809,                0.82989,                0.57539,                0.51887,                 0.8083,              0.0014195,              0.0014195,              0.0014195
                     77,                0.56168,                0.48499,                0.81433,                 0.9606,                0.89292,                0.96284,                0.83536,                0.57851,                0.53862,                0.80874,              0.0014161,              0.0014161,              0.0014161
                     78,                0.51993,                0.48179,                0.80541,                0.95768,                0.89811,                0.96147,                0.84591,                0.49028,                0.52202,                0.79864,              0.0014128,              0.0014128,              0.0014128
                     79,                0.50647,                 0.4586,                 0.8047,                0.96103,                0.93333,                0.96184,                0.84815,                0.51112,                0.48531,                0.80071,              0.0014095,              0.0014095,              0.0014095
                     80,                0.49751,                0.44625,                0.80523,                0.96785,                0.94869,                0.96024,                0.83699,                0.51705,                0.49757,                0.80127,              0.0014062,              0.0014062,              0.0014062
                     81,                0.49124,                0.41992,                0.80994,                0.95354,                0.90722,                0.95716,                0.84358,                0.49006,                0.46571,                0.80018,              0.0014029,              0.0014029,              0.0014029
                     82,                0.48757,                0.45313,                0.79971,                0.96229,                0.92156,                0.95338,                0.81598,                0.55782,                0.50397,                0.80318,              0.0013996,              0.0013996,              0.0013996
                     83,                0.54042,                0.45081,                0.81044,                0.96145,                 0.9154,                0.95294,                0.81323,                0.54477,                0.47294,                0.80077,              0.0013963,              0.0013963,              0.0013963
                     84,                 0.5311,                0.45385,                0.81943,                0.93503,                0.96104,                0.94711,                0.82035,                0.52837,                0.44646,                0.79759,               0.001393,               0.001393,               0.001393
                     85,                0.49126,                0.42285,                0.81125,                0.93764,                0.92835,                0.94448,                0.82059,                0.52035,                0.46566,                0.80234,              0.0013897,              0.0013897,              0.0013897
                     86,                0.52001,                0.44091,                 0.8192,                0.95339,                0.93333,                0.95235,                0.82024,                0.51689,                0.48235,                0.80048,              0.0013864,              0.0013864,              0.0013864
                     87,                0.47657,                0.41498,                0.82269,                0.95486,                0.93333,                0.95346,                0.81849,                0.54056,                0.47335,                0.79836,              0.0013831,              0.0013831,              0.0013831
                     88,                0.52555,                0.43134,                  0.813,                 0.9578,                0.93333,                0.95344,                0.83602,                0.50089,                0.49625,                0.79697,              0.0013798,              0.0013798,              0.0013798
                     89,                0.51622,                0.42542,                  0.819,                0.96572,                0.93333,                0.95934,                0.82443,                0.51695,                0.50765,                0.79963,              0.0013765,              0.0013765,              0.0013765
                     90,                0.52754,                0.44198,                0.82228,                0.96359,                0.93333,                0.96613,                0.81469,                0.56486,                0.49766,                  0.806,              0.0013732,              0.0013732,              0.0013732
                     91,                0.51112,                0.42641,                0.81567,                0.96334,                0.93333,                0.97125,                0.82699,                0.55621,                0.47704,                0.80669,              0.0013699,              0.0013699,              0.0013699
                     92,                0.49632,                0.42111,                0.81558,                   0.96,                0.93333,                0.96945,                0.82036,                0.56482,                0.49589,                0.80032,              0.0013666,              0.0013666,              0.0013666
                     93,                 0.4606,                0.39989,                 0.8135,                0.95177,                0.93333,                 0.9491,                0.82401,                0.52279,                 0.4884,                0.79571,              0.0013633,              0.0013633,              0.0013633
                     94,                 0.4954,                0.42712,                0.79412,                 0.9252,                0.93333,                0.93729,                0.81711,                0.50839,                0.51997,                0.79508,                0.00136,                0.00136,                0.00136
                     95,                0.50396,                0.43321,                0.80633,                  0.923,                0.93333,                0.93701,                0.79626,                0.53551,                0.52316,                0.79962,              0.0013567,              0.0013567,              0.0013567
                     96,                0.48163,                0.40738,                0.80287,                0.94657,                0.93333,                0.95352,                0.81009,                0.50024,                0.52128,                0.80165,              0.0013534,              0.0013534,              0.0013534
                     97,                0.53321,                0.43412,                0.83826,                0.95606,                0.93333,                0.95823,                0.79961,                 0.5139,                0.51082,                0.79891,              0.0013501,              0.0013501,              0.0013501
