                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6403,                 5.2865,                 1.2498,                0.68055,                0.20813,                0.15372,                0.11985,                 1.3532,                 3.9649,                 1.1178,             0.00016008,             0.00016008,             0.00016008
                      2,                 1.3449,                 4.3957,                 1.0623,                0.66179,                0.32744,                0.28562,                0.20792,                 1.1399,                 3.1908,                0.99126,             0.00032618,             0.00032618,             0.00032618
                      3,                  1.221,                 3.5889,                0.98455,                 0.7011,                0.38516,                0.45471,                0.34304,                 1.0346,                 2.3746,                0.95134,             0.00049163,             0.00049163,             0.00049163
                      4,                 1.1142,                 2.8625,                0.94867,                0.49697,                0.57693,                0.56481,                0.40886,                 1.0166,                  1.909,                0.93915,             0.00065641,             0.00065641,             0.00065641
                      5,                 1.0071,                 2.3649,                0.92495,                0.62253,                0.57587,                0.63507,                0.48654,                0.94931,                 1.6648,                 0.9367,             0.00066172,             0.00066172,             0.00066172
                      6,                 0.9506,                 1.9608,                0.91429,                0.81964,                0.61223,                0.71418,                0.55238,                0.90189,                 1.5282,                0.91116,              0.0006604,              0.0006604,              0.0006604
                      7,                0.94739,                 1.8646,                0.91572,                0.83641,                 0.7204,                0.79288,                 0.6034,                0.88988,                 1.2565,                0.91739,             0.00065908,             0.00065908,             0.00065908
                      8,                0.91884,                 1.6006,                0.90096,                0.93019,                0.73093,                0.83312,                0.63251,                0.83377,                   1.01,                0.90401,             0.00065776,             0.00065776,             0.00065776
                      9,                0.85033,                 1.5213,                0.88078,                0.89486,                0.76403,                0.85168,                0.65859,                0.81162,                0.91753,                0.90182,             0.00065643,             0.00065643,             0.00065643
                     10,                0.86153,                 1.3466,                0.88972,                0.89784,                0.81287,                0.87252,                0.67391,                0.77265,                0.81817,                0.88163,             0.00065511,             0.00065511,             0.00065511
                     11,                0.82128,                 1.2443,                0.88031,                0.88598,                0.79817,                 0.8649,                0.66764,                0.81941,                  0.828,                0.89004,             0.00065379,             0.00065379,             0.00065379
                     12,                0.83154,                 1.1877,                0.87997,                0.90561,                0.79093,                0.87159,                0.67414,                0.78606,                0.74957,                0.88275,             0.00065247,             0.00065247,             0.00065247
                     13,                0.79868,                 1.1084,                0.87587,                0.90398,                0.80845,                0.87821,                0.66659,                0.80014,                0.72938,                0.88035,             0.00065115,             0.00065115,             0.00065115
                     14,                0.77956,                 1.0986,                0.86787,                0.90748,                  0.837,                0.89412,                0.68719,                0.77843,                0.67197,                0.89299,             0.00064983,             0.00064983,             0.00064983
                     15,                0.73842,                 1.0037,                0.85814,                0.93397,                0.85229,                0.90263,                0.70028,                0.74627,                 0.6197,                0.88351,             0.00064851,             0.00064851,             0.00064851
                     16,                0.74745,                0.93998,                0.86347,                0.92925,                0.85138,                0.91735,                0.69427,                0.77632,                0.64508,                0.87552,             0.00064719,             0.00064719,             0.00064719
                     17,                0.74803,                0.91994,                0.84513,                0.91235,                0.86927,                 0.9265,                0.71616,                0.73912,                0.63566,                0.87143,             0.00064587,             0.00064587,             0.00064587
                     18,                0.75593,                0.89238,                0.85642,                0.93389,                0.85329,                0.92052,                0.72494,                0.71886,                0.62421,                0.87112,             0.00064455,             0.00064455,             0.00064455
                     19,                0.72276,                0.86537,                 0.8564,                0.95077,                0.86502,                0.92408,                0.70922,                0.76752,                0.61895,                0.87899,             0.00064323,             0.00064323,             0.00064323
                     20,                0.74977,                0.87025,                0.85755,                0.93521,                0.87844,                0.93611,                0.72143,                0.73833,                0.63454,                0.87587,             0.00064191,             0.00064191,             0.00064191
                     21,                0.73393,                0.85478,                0.85604,                0.92096,                0.88741,                0.93959,                0.73082,                0.72994,                0.59841,                 0.8793,             0.00064059,             0.00064059,             0.00064059
                     22,                0.72943,                0.80821,                0.84358,                0.94998,                0.85794,                0.93125,                0.71908,                0.76904,                0.58287,                0.88348,             0.00063927,             0.00063927,             0.00063927
                     23,                0.73003,                0.79063,                0.84575,                0.94066,                0.85697,                0.93012,                0.72533,                0.72593,                0.61272,                 0.8767,             0.00063795,             0.00063795,             0.00063795
                     24,                0.73847,                0.76385,                0.84336,                0.93483,                0.88163,                0.93759,                0.72168,                0.71772,                 0.5837,                0.86969,             0.00063662,             0.00063662,             0.00063662
                     25,                0.71353,                0.71806,                0.84836,                0.94264,                0.88415,                0.93603,                0.72077,                0.74636,                 0.5901,                0.87771,              0.0006353,              0.0006353,              0.0006353
                     26,                0.69951,                0.69756,                0.84765,                0.93836,                0.87972,                0.94116,                  0.752,                0.69626,                0.59473,                0.86873,             0.00063398,             0.00063398,             0.00063398
                     27,                0.72407,                  0.742,                0.85192,                0.94377,                 0.8713,                0.94301,                0.74043,                0.72632,                0.54259,                0.87097,             0.00063266,             0.00063266,             0.00063266
                     28,                0.66787,                0.69027,                0.83802,                0.94195,                0.88985,                0.94977,                0.75555,                0.69888,                 0.5528,                0.86341,             0.00063134,             0.00063134,             0.00063134
                     29,                0.68733,                0.67563,                0.84456,                0.93059,                0.89307,                0.93165,                0.72986,                0.69948,                0.54448,                0.86201,             0.00063002,             0.00063002,             0.00063002
                     30,                0.65782,                0.63745,                0.83569,                0.96198,                0.88392,                0.94752,                0.74001,                0.70631,                0.54366,                0.87013,              0.0006287,              0.0006287,              0.0006287
                     31,                0.65237,                0.60921,                0.82755,                0.92544,                0.91619,                0.94525,                0.73838,                0.69561,                 0.5564,                0.86453,             0.00062738,             0.00062738,             0.00062738
                     32,                0.66108,                0.64069,                0.84322,                0.94372,                0.89302,                0.94603,                0.75965,                0.67509,                  0.538,                0.85845,             0.00062606,             0.00062606,             0.00062606
                     33,                0.70492,                0.65139,                0.85868,                0.95411,                0.89383,                0.94312,                0.75053,                0.69925,                0.53072,                0.87147,             0.00062474,             0.00062474,             0.00062474
                     34,                0.65667,                0.61156,                0.84125,                0.94913,                0.90915,                0.94672,                 0.7595,                0.66425,                0.49728,                0.85909,             0.00062342,             0.00062342,             0.00062342
                     35,                0.66679,                0.60269,                0.83355,                0.93618,                  0.921,                0.94481,                0.75702,                0.67223,                0.52746,                 0.8603,              0.0006221,              0.0006221,              0.0006221
                     36,                0.65047,                0.60028,                0.83824,                0.92162,                0.89491,                0.94199,                0.75249,                0.67359,                0.54146,                0.86081,             0.00062078,             0.00062078,             0.00062078
                     37,                0.67305,                0.59692,                0.84075,                0.94259,                0.89341,                0.94216,                0.74157,                0.70505,                0.54002,                0.86534,             0.00061946,             0.00061946,             0.00061946
                     38,                 0.6814,                0.58059,                0.84075,                0.93068,                0.89469,                0.94733,                0.75801,                0.67005,                0.49847,                0.86109,             0.00061814,             0.00061814,             0.00061814
                     39,                0.65553,                0.57482,                0.83921,                0.93096,                0.91695,                0.95865,                0.76845,                0.64239,                0.50673,                0.85302,             0.00061681,             0.00061681,             0.00061681
                     40,                0.65223,                0.56409,                0.83145,                0.92711,                0.90485,                0.95387,                0.76453,                0.64391,                0.54399,                0.85952,             0.00061549,             0.00061549,             0.00061549
                     41,                0.63031,                0.54989,                 0.8308,                0.92809,                0.89394,                0.95501,                0.75712,                0.66605,                  0.546,                0.86007,             0.00061417,             0.00061417,             0.00061417
                     42,                0.62575,                0.55335,                0.84032,                0.92465,                0.87801,                 0.9551,                 0.7591,                0.67271,                0.49035,                0.86734,             0.00061285,             0.00061285,             0.00061285
                     43,                0.64104,                0.54544,                0.84177,                0.92315,                0.89959,                0.95045,                0.74687,                0.65672,                0.49797,                0.86654,             0.00061153,             0.00061153,             0.00061153
                     44,                0.63687,                 0.5439,                0.83432,                0.94094,                 0.8993,                 0.9506,                0.75103,                0.66756,                0.49046,                0.86407,             0.00061021,             0.00061021,             0.00061021
                     45,                0.66005,                0.56961,                0.83059,                0.95213,                 0.9215,                0.95253,                0.74642,                 0.6723,                0.48488,                0.86297,             0.00060889,             0.00060889,             0.00060889
                     46,                0.63479,                0.53521,                0.83797,                0.95306,                0.91776,                0.94885,                 0.7594,                0.65697,                0.48363,                  0.864,             0.00060757,             0.00060757,             0.00060757
                     47,                 0.6026,                0.52004,                0.82512,                0.92379,                0.89749,                 0.9407,                0.75629,                 0.6534,                0.50532,                0.86583,             0.00060625,             0.00060625,             0.00060625
                     48,                0.61992,                0.52266,                0.83717,                0.94625,                0.89537,                0.94913,                0.75709,                 0.6612,                0.52784,                0.86661,             0.00060493,             0.00060493,             0.00060493
                     49,                0.64134,                0.53288,                0.84102,                0.92355,                0.92756,                 0.9535,                0.75352,                 0.7012,                0.50134,                0.87107,             0.00060361,             0.00060361,             0.00060361
                     50,                0.62396,                0.51101,                0.82484,                0.93821,                0.90444,                0.95553,                0.76534,                0.65163,                 0.5048,                0.85233,             0.00060229,             0.00060229,             0.00060229
                     51,                0.60007,                0.49529,                0.83384,                0.94008,                0.91773,                0.94738,                0.75234,                0.64458,                0.49801,                0.85924,             0.00060097,             0.00060097,             0.00060097
                     52,                0.61191,                0.48893,                0.83283,                 0.9336,                0.91779,                0.94567,                0.76298,                0.61397,                0.49071,                0.84396,             0.00059965,             0.00059965,             0.00059965
                     53,                0.62401,                0.48681,                0.82282,                0.92811,                0.91396,                0.94771,                0.75702,                 0.6374,                0.50015,                0.84827,             0.00059833,             0.00059833,             0.00059833
                     54,                0.61781,                0.50115,                0.84061,                0.91632,                0.93342,                0.95335,                0.75664,                0.64963,                0.47401,                0.85853,             0.00059701,             0.00059701,             0.00059701
                     55,                0.61494,                 0.4951,                0.83362,                0.95733,                0.90216,                0.94423,                0.77205,                0.63162,                0.51395,                0.85062,             0.00059568,             0.00059568,             0.00059568
                     56,                0.60762,                0.49833,                0.82929,                0.94301,                 0.9044,                0.95692,                0.77382,                0.60921,                0.47549,                0.84489,             0.00059436,             0.00059436,             0.00059436
                     57,                0.60949,                0.48276,                0.82806,                0.92787,                 0.9137,                0.95234,                0.77269,                0.63645,                0.52233,                0.85429,             0.00059304,             0.00059304,             0.00059304
                     58,                0.61056,                0.47221,                0.82702,                0.91143,                0.92521,                0.95036,                0.75656,                0.69409,                0.51764,                0.86054,             0.00059172,             0.00059172,             0.00059172
                     59,                0.59998,                0.47134,                0.82988,                0.92629,                0.92002,                0.96246,                0.78202,                0.63779,                0.47382,                0.85394,              0.0005904,              0.0005904,              0.0005904
                     60,                0.61894,                0.49552,                0.83774,                0.91436,                0.89864,                0.94577,                0.77787,                0.61613,                0.49771,                0.85008,             0.00058908,             0.00058908,             0.00058908
                     61,                 0.6181,                0.48543,                0.83222,                0.93891,                0.89448,                0.93723,                0.76208,                0.63761,                0.51039,                0.85554,             0.00058776,             0.00058776,             0.00058776
