                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5083,                 5.5252,                 1.1414,                0.00165,                0.30012,                0.04092,                0.03061,                 1.1213,                 4.4509,                 0.8395,             0.00016008,             0.00016008,             0.00016008
                      2,                 1.2445,                 4.3149,                0.93734,                0.00428,                0.48133,                0.16355,                0.11838,                 1.0645,                 4.0709,                0.84821,             0.00032618,             0.00032618,             0.00032618
                      3,                 1.1661,                 3.2128,                0.93178,                0.00615,                0.76259,                0.47785,                0.35238,                 1.0517,                 3.4844,                  0.896,             0.00049163,             0.00049163,             0.00049163
                      4,                 1.1059,                 2.5519,                0.93385,                0.97427,                0.33704,                0.63771,                0.47901,                 1.0431,                 2.7749,                0.90316,             0.00065641,             0.00065641,             0.00065641
                      5,                 1.0721,                 2.2479,                0.92115,                0.85724,                0.54612,                0.72086,                0.52348,                 1.0528,                 2.1782,                0.90741,             0.00066172,             0.00066172,             0.00066172
                      6,                0.99411,                 2.0609,                0.89258,                0.87837,                0.71344,                0.80459,                 0.5863,                0.98843,                 1.6581,                0.88023,              0.0006604,              0.0006604,              0.0006604
                      7,                 1.0416,                 2.0287,                0.93593,                0.91073,                0.80655,                0.85347,                0.61135,                0.97897,                 1.2719,                0.87387,             0.00065908,             0.00065908,             0.00065908
                      8,                 0.9642,                 1.7603,                 0.9008,                0.90362,                 0.7758,                0.85994,                0.62105,                0.93921,                  1.253,                0.86787,             0.00065776,             0.00065776,             0.00065776
                      9,                0.92511,                 1.7276,                  0.885,                0.86919,                 0.7953,                0.86695,                0.63137,                0.94875,                  1.274,                0.88209,             0.00065643,             0.00065643,             0.00065643
                     10,                0.91236,                 1.5473,                0.89069,                0.93175,                0.79198,                0.89503,                0.65163,                0.94062,                 1.1268,                0.88766,             0.00065511,             0.00065511,             0.00065511
                     11,                0.87565,                 1.4788,                0.87684,                0.86781,                0.85118,                0.89547,                 0.6343,                0.93727,                 1.0512,                0.88672,             0.00065379,             0.00065379,             0.00065379
                     12,                0.91957,                 1.4289,                 0.8883,                 0.8396,                0.82761,                0.88783,                0.64941,                0.90266,                 1.0189,                0.87311,             0.00065247,             0.00065247,             0.00065247
                     13,                0.87939,                 1.3156,                0.88353,                0.92511,                0.82543,                0.91933,                 0.6785,                0.83349,                0.87129,                0.86178,             0.00065115,             0.00065115,             0.00065115
                     14,                 0.8224,                 1.2869,                0.86554,                0.90556,                0.86173,                0.92294,                0.66897,                 0.8853,                0.81468,                 0.8781,             0.00064983,             0.00064983,             0.00064983
                     15,                0.80988,                 1.1911,                0.85902,                0.93968,                0.84684,                0.92332,                0.68618,                0.83239,                0.73417,                0.86092,             0.00064851,             0.00064851,             0.00064851
                     16,                0.82119,                 1.1781,                0.86609,                0.94308,                  0.841,                0.93973,                0.67128,                0.89489,                0.74155,                0.86482,             0.00064719,             0.00064719,             0.00064719
                     17,                0.80636,                  1.109,                0.84795,                0.93062,                0.85748,                0.94468,                0.67331,                0.88999,                0.72729,                0.85802,             0.00064587,             0.00064587,             0.00064587
                     18,                0.81541,                 1.0856,                0.85672,                0.94113,                0.87981,                0.94494,                0.70227,                0.77863,                0.62735,                0.84769,             0.00064455,             0.00064455,             0.00064455
                     19,                0.78394,                 1.0636,                0.85748,                0.90503,                0.86776,                 0.9311,                0.70553,                0.81503,                0.68216,                 0.8501,             0.00064323,             0.00064323,             0.00064323
                     20,                0.77026,                 1.0177,                0.85441,                0.93803,                0.86394,                0.93545,                0.70592,                0.76202,                0.67583,                 0.8494,             0.00064191,             0.00064191,             0.00064191
                     21,                0.77885,                 1.0387,                0.85119,                0.92526,                0.83376,                0.93102,                0.68658,                0.79195,                 0.7313,                0.85902,             0.00064059,             0.00064059,             0.00064059
                     22,                0.76857,                0.96438,                0.84384,                0.92559,                0.85229,                0.91927,                 0.6963,                0.77855,                0.66083,                0.85094,             0.00063927,             0.00063927,             0.00063927
                     23,                0.74656,                0.93502,                0.84448,                0.94324,                0.86509,                0.93761,                 0.7233,                0.73929,                0.64842,                0.84282,             0.00063795,             0.00063795,             0.00063795
                     24,                0.80399,                0.93835,                0.85336,                0.91348,                0.87055,                0.93789,                0.70578,                0.81839,                0.67698,                0.85506,             0.00063662,             0.00063662,             0.00063662
                     25,                 0.7287,                0.86417,                0.84408,                0.95324,                0.88632,                0.93997,                0.71703,                0.78834,                0.64905,                0.85417,              0.0006353,              0.0006353,              0.0006353
                     26,                0.72532,                0.87075,                0.84296,                0.95505,                0.90069,                0.95571,                0.73398,                0.75389,                0.62164,                0.84956,             0.00063398,             0.00063398,             0.00063398
                     27,                0.73002,                0.84215,                0.84183,                0.95184,                0.89655,                 0.9548,                0.72639,                0.73102,                0.60111,                0.83845,             0.00063266,             0.00063266,             0.00063266
                     28,                0.71853,                0.84105,                0.84171,                0.93788,                 0.9281,                 0.9625,                0.74465,                0.72319,                0.58934,                0.84128,             0.00063134,             0.00063134,             0.00063134
                     29,                0.71904,                 0.8301,                0.84304,                 0.9442,                 0.9036,                 0.9475,                0.72306,                0.72824,                0.61709,                0.83798,             0.00063002,             0.00063002,             0.00063002
                     30,                0.70419,                0.78235,                0.83907,                0.92564,                0.88966,                0.92126,                0.73774,                 0.7253,                0.63798,                0.84071,              0.0006287,              0.0006287,              0.0006287
                     31,                0.70143,                0.73923,                0.83985,                0.93738,                0.87739,                0.94076,                0.74022,                 0.7334,                0.64615,                0.84315,             0.00062738,             0.00062738,             0.00062738
                     32,                0.69803,                0.77179,                0.84296,                0.91311,                0.91317,                0.92811,                0.74018,                0.74617,                0.62273,                0.84117,             0.00062606,             0.00062606,             0.00062606
                     33,                0.74561,                 0.7945,                0.86111,                 0.9473,                0.89783,                0.95281,                0.71932,                0.75029,                0.59479,                0.85088,             0.00062474,             0.00062474,             0.00062474
                     34,                 0.6938,                0.72224,                0.84368,                0.94966,                0.90761,                0.95364,                0.73538,                0.71755,                0.59402,                0.84095,             0.00062342,             0.00062342,             0.00062342
                     35,                0.70822,                0.72505,                0.83766,                 0.9411,                0.88085,                0.95663,                0.74309,                0.73047,                 0.5623,                0.84414,              0.0006221,              0.0006221,              0.0006221
                     36,                0.69802,                0.73086,                0.83617,                0.92734,                0.92205,                0.95759,                0.74239,                0.69806,                 0.5847,                0.83408,             0.00062078,             0.00062078,             0.00062078
                     37,                0.71597,                0.69786,                0.84446,                0.94806,                0.92315,                0.95845,                 0.7385,                0.75032,                 0.5703,                0.84335,             0.00061946,             0.00061946,             0.00061946
                     38,                0.71029,                0.68207,                0.83795,                0.95695,                0.92451,                0.95448,                 0.7331,                0.71552,                0.56185,                0.83231,             0.00061814,             0.00061814,             0.00061814
                     39,                0.71093,                0.67473,                0.84314,                0.92151,                0.92206,                0.94805,                0.73663,                 0.6945,                0.57439,                 0.8342,             0.00061681,             0.00061681,             0.00061681
                     40,                0.68603,                0.66792,                0.83059,                0.92163,                0.92267,                0.95561,                0.73682,                0.72571,                0.58482,                0.83897,             0.00061549,             0.00061549,             0.00061549
                     41,                 0.6497,                0.63098,                0.83059,                0.93682,                 0.9057,                0.94188,                0.72763,                0.69814,                0.59408,                0.83745,             0.00061417,             0.00061417,             0.00061417
                     42,                0.65324,                0.64063,                0.83203,                0.94133,                0.92123,                0.95857,                0.75337,                0.71271,                0.55976,                0.83991,             0.00061285,             0.00061285,             0.00061285
                     43,                0.65388,                 0.6367,                0.83585,                0.93575,                0.89154,                0.94774,                0.73135,                0.73812,                0.56089,                0.83889,             0.00061153,             0.00061153,             0.00061153
                     44,                0.66244,                0.62912,                0.83326,                0.95773,                0.89296,                0.96064,                0.75493,                0.71762,                0.54444,                0.84365,             0.00061021,             0.00061021,             0.00061021
                     45,                0.68229,                0.63663,                0.82854,                0.91143,                0.90284,                0.94888,                0.74647,                0.67873,                0.53772,                0.83391,             0.00060889,             0.00060889,             0.00060889
                     46,                0.67264,                0.61525,                0.83266,                0.92761,                0.89237,                0.94859,                0.74479,                0.68339,                0.56195,                0.83512,             0.00060757,             0.00060757,             0.00060757
                     47,                0.65122,                0.60112,                0.82084,                0.93019,                 0.9109,                 0.9483,                0.74988,                0.68962,                 0.5631,                0.83537,             0.00060625,             0.00060625,             0.00060625
                     48,                0.66085,                0.60644,                0.83825,                0.92845,                0.92031,                0.94111,                0.73472,                0.70714,                0.61369,                0.84608,             0.00060493,             0.00060493,             0.00060493
                     49,                0.67787,                0.60915,                0.83954,                0.93402,                0.90847,                 0.9476,                0.72716,                0.71708,                0.59493,                0.83583,             0.00060361,             0.00060361,             0.00060361
                     50,                0.68109,                0.60392,                0.82701,                0.92912,                0.91691,                0.94622,                0.74327,                0.70481,                0.58557,                0.82939,             0.00060229,             0.00060229,             0.00060229
                     51,                0.67084,                0.59021,                0.83412,                0.94801,                0.89359,                0.95689,                0.75318,                0.69951,                 0.5461,                0.83199,             0.00060097,             0.00060097,             0.00060097
                     52,                0.62818,                 0.5726,                0.82665,                0.96105,                0.87614,                0.95946,                0.76421,                  0.676,                0.53995,                0.82632,             0.00059965,             0.00059965,             0.00059965
                     53,                  0.643,                 0.5542,                0.82303,                0.93112,                0.90467,                0.94381,                0.74676,                0.67697,                0.55672,                0.82908,             0.00059833,             0.00059833,             0.00059833
                     54,                0.63708,                0.55716,                0.83541,                0.93313,                0.92883,                0.94688,                0.75346,                0.67347,                0.56389,                0.83359,             0.00059701,             0.00059701,             0.00059701
                     55,                0.65946,                 0.5576,                0.83508,                0.93437,                0.90476,                0.94802,                0.75778,                0.67118,                0.54267,                0.83695,             0.00059568,             0.00059568,             0.00059568
                     56,                0.61373,                0.55936,                0.82333,                0.92952,                 0.9008,                0.95583,                0.75098,                0.70319,                0.56067,                0.83755,             0.00059436,             0.00059436,             0.00059436
                     57,                0.60956,                0.54592,                0.81897,                0.94113,                0.91248,                0.94208,                0.74933,                0.68492,                0.54707,                0.83133,             0.00059304,             0.00059304,             0.00059304
                     58,                0.61493,                0.53206,                0.81986,                 0.9317,                0.92138,                 0.9479,                0.75391,                0.68203,                0.52692,                0.82951,             0.00059172,             0.00059172,             0.00059172
                     59,                0.63069,                0.52854,                0.83008,                0.93594,                0.89177,                0.94506,                0.74938,                0.70389,                 0.5419,                0.84082,              0.0005904,              0.0005904,              0.0005904
                     60,                0.65376,                0.55529,                0.83938,                0.95081,                0.91138,                0.94839,                0.73647,                0.71773,                0.55697,                0.83302,             0.00058908,             0.00058908,             0.00058908
                     61,                0.64526,                0.56104,                0.82023,                 0.9047,                0.91857,                0.94281,                0.74255,                0.67747,                0.58603,                0.82932,             0.00058776,             0.00058776,             0.00058776
                     62,                0.65521,                0.52917,                0.82925,                0.92335,                0.91879,                0.94678,                0.76193,                0.65107,                0.54621,                0.82687,             0.00058644,             0.00058644,             0.00058644
                     63,                0.63268,                0.52646,                0.82309,                 0.9269,                 0.9102,                0.95437,                0.76467,                0.66423,                0.55114,                0.83011,             0.00058512,             0.00058512,             0.00058512
                     64,                  0.671,                0.53114,                0.81934,                0.94364,                0.90724,                0.93335,                 0.7387,                0.70179,                0.55955,                0.83338,              0.0005838,              0.0005838,              0.0005838
                     65,                0.65911,                0.52141,                0.82591,                0.95336,                0.90458,                0.94054,                0.74761,                0.67023,                0.51515,                0.83158,             0.00058248,             0.00058248,             0.00058248
                     66,                0.62841,                0.51193,                 0.8237,                0.94566,                0.93195,                0.95666,                0.77204,                 0.6678,                0.49161,                0.83434,             0.00058116,             0.00058116,             0.00058116
                     67,                0.63889,                0.51376,                0.81865,                0.93992,                 0.9406,                0.96058,                0.75784,                0.68062,                0.49721,                0.83695,             0.00057984,             0.00057984,             0.00057984
                     68,                0.64017,                0.50655,                   0.83,                0.94258,                0.92213,                0.95081,                0.75229,                0.69981,                0.55277,                0.83454,             0.00057852,             0.00057852,             0.00057852
                     69,                0.62529,                0.50471,                0.82042,                0.93093,                 0.9077,                0.94638,                 0.7441,                0.69975,                 0.5223,                0.83803,              0.0005772,              0.0005772,              0.0005772
                     70,                0.65579,                0.53166,                0.83135,                0.92192,                0.91417,                0.95159,                0.75908,                0.66073,                0.53776,                0.83553,             0.00057587,             0.00057587,             0.00057587
                     71,                0.62556,                0.49277,                  0.835,                 0.9132,                0.92483,                 0.9526,                0.76046,                 0.6765,                0.53471,                0.83412,             0.00057455,             0.00057455,             0.00057455
                     72,                0.60898,                0.48958,                0.81602,                 0.9364,                0.92215,                0.95972,                0.75928,                0.69086,                0.51466,                0.83274,             0.00057323,             0.00057323,             0.00057323
                     73,                0.58722,                0.48275,                0.82466,                0.94598,                  0.906,                0.95412,                 0.7678,                 0.6512,                0.49851,                0.82687,             0.00057191,             0.00057191,             0.00057191
                     74,                0.60403,                0.47501,                 0.8177,                0.93365,                0.91782,                0.95247,                 0.7714,                0.66532,                0.52636,                0.82627,             0.00057059,             0.00057059,             0.00057059
                     75,                0.60851,                0.49129,                 0.8216,                0.89706,                0.91934,                0.94385,                0.74556,                0.69472,                0.52994,                0.83656,             0.00056927,             0.00056927,             0.00056927
                     76,                0.60876,                0.48123,                0.82775,                0.91721,                0.94043,                0.95202,                0.76934,                0.67211,                0.52476,                0.83258,             0.00056795,             0.00056795,             0.00056795
                     77,                0.62898,                0.48805,                0.82215,                0.95023,                 0.9035,                0.95636,                0.77422,                0.67006,                0.50697,                0.83479,             0.00056663,             0.00056663,             0.00056663
                     78,                0.59698,                0.46575,                0.81693,                0.93473,                0.91286,                0.93915,                0.75484,                0.66193,                0.52379,                0.83956,             0.00056531,             0.00056531,             0.00056531
                     79,                0.57664,                0.45683,                0.81674,                0.93637,                0.91355,                0.93936,                0.76466,                0.63657,                0.53693,                0.82865,             0.00056399,             0.00056399,             0.00056399
                     80,                 0.6094,                0.47919,                0.81242,                  0.914,                0.91303,                0.92799,                0.75901,                0.64098,                0.53094,                0.83154,             0.00056267,             0.00056267,             0.00056267
                     81,                0.61882,                0.47544,                0.82278,                0.93671,                0.91612,                0.94854,                0.76641,                0.64049,                 0.5103,                0.83073,             0.00056135,             0.00056135,             0.00056135
                     82,                0.56906,                 0.4501,                0.80663,                0.93354,                0.94046,                0.96494,                0.78153,                0.65785,                0.47223,                0.83032,             0.00056003,             0.00056003,             0.00056003
                     83,                0.59149,                0.47346,                 0.8166,                0.94943,                0.90086,                0.96655,                 0.7803,                0.66011,                 0.4857,                0.83334,             0.00055871,             0.00055871,             0.00055871
                     84,                0.58624,                0.46404,                 0.8211,                0.91699,                0.93368,                0.96298,                0.77474,                0.68403,                0.49823,                0.83281,             0.00055739,             0.00055739,             0.00055739
                     85,                0.59625,                 0.4717,                0.80981,                0.92017,                0.92459,                0.95301,                 0.7585,                0.67426,                0.50561,                0.84096,             0.00055606,             0.00055606,             0.00055606
                     86,                0.59258,                0.45088,                 0.8051,                0.91648,                0.92333,                0.95404,                0.76401,                0.66884,                0.50603,                0.83711,             0.00055474,             0.00055474,             0.00055474
                     87,                0.56019,                0.44919,                0.80964,                0.94196,                0.93036,                0.96006,                0.75407,                0.66365,                0.49991,                0.83233,             0.00055342,             0.00055342,             0.00055342
                     88,                0.58257,                0.44215,                0.80775,                0.94827,                0.91736,                0.96128,                0.76474,                0.66081,                0.50636,                0.83743,              0.0005521,              0.0005521,              0.0005521
                     89,                0.61364,                0.46238,                  0.815,                0.95185,                0.92614,                0.95571,                 0.7639,                0.65809,                0.48266,                0.83469,             0.00055078,             0.00055078,             0.00055078
                     90,                  0.591,                0.44516,                0.81543,                0.94543,                 0.9112,                0.95647,                0.76981,                0.65891,                0.47126,                0.83292,             0.00054946,             0.00054946,             0.00054946
                     91,                0.57546,                0.44299,                0.82251,                0.92223,                0.94924,                0.96278,                 0.7861,                0.63472,                0.48357,                0.83091,             0.00054814,             0.00054814,             0.00054814
                     92,                0.56163,                0.43522,                0.80259,                0.90932,                 0.9493,                0.95547,                0.76291,                0.64637,                0.49604,                0.82741,             0.00054682,             0.00054682,             0.00054682
                     93,                0.55788,                0.41375,                0.81047,                0.93895,                0.92617,                0.95115,                0.77186,                0.64688,                0.48825,                0.83146,              0.0005455,              0.0005455,              0.0005455
                     94,                0.58494,                0.43496,                0.82396,                0.95156,                0.92492,                0.96474,                0.78351,                0.66139,                0.49176,                0.83499,             0.00054418,             0.00054418,             0.00054418
                     95,                0.57559,                0.44416,                0.80815,                 0.9105,                 0.9269,                0.94498,                0.76659,                0.64962,                 0.5201,                0.82461,             0.00054286,             0.00054286,             0.00054286
                     96,                0.57039,                0.43672,                0.81659,                0.92346,                0.91342,                0.94903,                 0.7673,                0.62497,                0.49148,                0.82779,             0.00054154,             0.00054154,             0.00054154
                     97,                0.58044,                 0.4389,                0.81212,                0.94444,                0.93482,                0.95836,                0.76772,                 0.6288,                0.46649,                0.82499,             0.00054022,             0.00054022,             0.00054022
                     98,                 0.5658,                0.43923,                0.80412,                0.91471,                0.93578,                0.94993,                0.77489,                0.62452,                0.52415,                0.82127,              0.0005389,              0.0005389,              0.0005389
                     99,                0.57736,                0.44858,                0.80861,                0.92279,                0.91142,                0.94395,                0.76992,                 0.6296,                0.52771,                0.82633,             0.00053758,             0.00053758,             0.00053758
                    100,                0.55981,                0.43408,                0.81308,                0.93883,                0.93155,                 0.9528,                0.76339,                0.65007,                0.49443,                0.83041,             0.00053625,             0.00053625,             0.00053625
                    101,                0.55975,                0.43212,                0.80732,                0.94517,                0.91591,                0.94408,                0.76472,                0.61382,                0.50342,                0.82372,             0.00053493,             0.00053493,             0.00053493
                    102,                0.57414,                0.41785,                0.80472,                 0.9062,                0.93305,                0.94247,                0.77349,                0.61704,                0.50276,                0.82927,             0.00053361,             0.00053361,             0.00053361
                    103,                0.55965,                 0.4015,                0.81738,                0.91248,                0.92876,                0.94774,                0.77043,                0.66236,                0.50702,                0.83445,             0.00053229,             0.00053229,             0.00053229
                    104,                0.58863,                0.42231,                 0.8169,                0.93524,                0.89985,                 0.9488,                 0.7713,                0.64079,                0.49265,                0.83275,             0.00053097,             0.00053097,             0.00053097
                    105,                0.53923,                0.39765,                0.80888,                0.92967,                0.91241,                0.94886,                0.77069,                0.64741,                0.46669,                0.82961,             0.00052965,             0.00052965,             0.00052965
                    106,                0.56372,                0.41536,                  0.809,                0.92723,                 0.9399,                0.95622,                0.77525,                0.65162,                0.48559,                0.82675,             0.00052833,             0.00052833,             0.00052833
                    107,                0.56374,                0.41638,                 0.8153,                 0.9228,                0.93818,                0.95881,                0.77796,                0.62213,                0.48127,                0.82925,             0.00052701,             0.00052701,             0.00052701
                    108,                0.55733,                0.40617,                 0.8077,                0.93761,                0.94588,                0.95877,                0.77472,                0.65648,                0.48529,                0.83324,             0.00052569,             0.00052569,             0.00052569
                    109,                0.55699,                0.40135,                0.81414,                0.94329,                0.91866,                0.95856,                0.77967,                0.65423,                0.47332,                0.83414,             0.00052437,             0.00052437,             0.00052437
                    110,                0.54906,                0.40412,                0.81305,                0.94316,                0.93992,                0.95829,                0.78881,                0.62396,                0.46277,                0.82899,             0.00052305,             0.00052305,             0.00052305
                    111,                0.55032,                0.39965,                0.80681,                0.93989,                0.92275,                 0.9565,                0.78553,                0.61819,                 0.4615,                0.82748,             0.00052173,             0.00052173,             0.00052173
                    112,                0.55466,                0.39833,                0.81026,                0.95222,                0.91008,                0.96337,                0.78362,                0.62883,                0.44719,                0.82494,             0.00052041,             0.00052041,             0.00052041
                    113,                0.54606,                0.40046,                0.80535,                0.93595,                0.92808,                 0.9566,                0.77582,                0.64742,                0.45997,                 0.8292,             0.00051909,             0.00051909,             0.00051909
                    114,                0.53214,                0.38844,                0.81198,                0.93833,                0.92828,                0.95874,                0.78039,                0.62395,                0.45998,                0.82469,             0.00051777,             0.00051777,             0.00051777
                    115,                0.55042,                0.39223,                 0.8076,                0.95095,                 0.9373,                0.96103,                 0.7778,                0.64276,                0.44638,                0.82863,             0.00051644,             0.00051644,             0.00051644
                    116,                0.54002,                0.40626,                0.81302,                0.89885,                0.93315,                0.94781,                0.77642,                0.62187,                0.49791,                 0.8264,             0.00051512,             0.00051512,             0.00051512
                    117,                0.57549,                0.40279,                0.82607,                0.93715,                0.92129,                0.94152,                0.76578,                0.61204,                0.49415,                0.82835,              0.0005138,              0.0005138,              0.0005138
                    118,                0.54987,                0.38812,                0.80794,                0.95196,                0.91369,                0.94847,                0.76117,                0.63756,                0.45979,                0.82843,             0.00051248,             0.00051248,             0.00051248
                    119,                0.54966,                0.38739,                0.81218,                0.93901,                0.91934,                0.94506,                0.77477,                 0.6289,                0.48951,                0.82543,             0.00051116,             0.00051116,             0.00051116
                    120,                0.56933,                0.40778,                0.81459,                0.94129,                0.92043,                0.94838,                0.77199,                0.64517,                0.48774,                0.83005,             0.00050984,             0.00050984,             0.00050984
                    121,                0.55015,                0.39767,                0.81296,                0.94532,                0.91867,                0.95371,                0.77773,                0.63501,                0.51254,                0.83142,             0.00050852,             0.00050852,             0.00050852
                    122,                0.53286,                0.37771,                0.79851,                0.93159,                0.93026,                0.95508,                0.77344,                0.61948,                 0.4653,                 0.8257,              0.0005072,              0.0005072,              0.0005072
                    123,                0.53765,                0.38856,                0.80723,                0.94892,                0.93384,                 0.9561,                0.77845,                0.61038,                0.44099,                0.82157,             0.00050588,             0.00050588,             0.00050588
                    124,                0.57031,                0.39184,                0.81552,                  0.955,                0.93345,                0.95828,                0.77817,                0.64985,                0.45625,                0.83302,             0.00050456,             0.00050456,             0.00050456
                    125,                0.52927,                0.39488,                0.80937,                0.94837,                0.93376,                0.95412,                 0.7833,                0.61736,                 0.4679,                0.83254,             0.00050324,             0.00050324,             0.00050324
                    126,                0.52563,                0.37785,                0.81342,                0.94492,                0.93632,                0.94976,                0.77732,                0.61313,                0.46105,                0.82962,             0.00050192,             0.00050192,             0.00050192
                    127,                0.54868,                0.39512,                0.81065,                0.90788,                0.94009,                 0.9459,                 0.7796,                0.63417,                0.49883,                0.83358,              0.0005006,              0.0005006,              0.0005006
                    128,                0.53886,                0.38867,                 0.8031,                0.93186,                0.93391,                0.94936,                0.76961,                0.62574,                0.47425,                0.82878,             0.00049928,             0.00049928,             0.00049928
                    129,                0.54237,                0.39792,                0.80375,                0.92361,                0.93457,                0.94765,                0.76017,                0.66291,                0.48143,                0.83934,             0.00049796,             0.00049796,             0.00049796
                    130,                0.51797,                0.37023,                0.80274,                0.93637,                0.95001,                 0.9531,                0.76983,                0.62876,                 0.4627,                0.82703,             0.00049663,             0.00049663,             0.00049663
                    131,                0.52177,                0.38732,                0.80673,                0.94096,                0.92367,                0.94548,                0.77791,                0.60566,                 0.4802,                0.82357,             0.00049531,             0.00049531,             0.00049531
                    132,                0.52419,                0.37757,                0.80917,                0.90777,                0.94752,                 0.9448,                0.77886,                0.59868,                  0.527,                0.81977,             0.00049399,             0.00049399,             0.00049399
                    133,                0.51623,                0.37827,                0.80399,                0.91554,                0.94951,                0.95389,                0.77428,                0.62754,                0.46809,                0.82636,             0.00049267,             0.00049267,             0.00049267
                    134,                0.52632,                0.38306,                0.80574,                0.93929,                0.93493,                0.96212,                0.79488,                0.63675,                0.44302,                0.83442,             0.00049135,             0.00049135,             0.00049135
                    135,                0.53986,                0.37868,                0.81282,                0.93625,                0.92921,                0.94904,                 0.7713,                0.63505,                0.46895,                0.82797,             0.00049003,             0.00049003,             0.00049003
                    136,                0.55968,                 0.3887,                0.80164,                0.93873,                0.91848,                0.94274,                0.76605,                0.61849,                0.48516,                0.82663,             0.00048871,             0.00048871,             0.00048871
                    137,                0.51628,                0.37149,                0.80224,                0.94208,                0.91927,                0.94988,                0.77166,                0.63838,                0.46643,                0.82939,             0.00048739,             0.00048739,             0.00048739
